u,v,key,osmid,highway,oneway,reversed,length,tunnel,name,geometry,lanes,bridge,maxspeed
2864448088,2864448095,0,282496084,residential,False,True,59.053,,,"LINESTRING (114.3949211 30.5308091, 114.3949442 30.5302784)",,,
2864448088,2864448089,0,282496085,residential,False,False,98.606,,,"LINESTRING (114.3949211 30.5308091, 114.3959464 30.5308893)",,,
2864448088,2864448086,0,282496084,residential,False,False,8.331,,,"LINESTRING (114.3949211 30.5308091, 114.394901 30.5308476, 114.3948687 30.5308648)",,,
2864448089,2864448088,0,282496085,residential,False,True,98.606,,,"LINESTRING (114.3959464 30.5308893, 114.3949211 30.5308091)",,,
2864448089,2864448093,0,282496086,residential,False,False,68.436,,,"LINESTRING (114.3959464 30.5308893, 114.3958894 30.5315028)",,,
2864448089,2864448096,0,282496086,residential,False,True,59.138,,,"LINESTRING (114.3959464 30.5308893, 114.3959934 30.530359)",,,
2864448090,2864448095,0,282496084,residential,False,False,71.12,,,"LINESTRING (114.394995 30.5296403, 114.3949442 30.5302784)",,,
2864448090,4807101957,0,282496084,residential,False,True,20.063,,,"LINESTRING (114.394995 30.5296403, 114.3948926 30.5294829)",,,
2864448090,2864448096,0,282496086,residential,False,False,170.591,,,"LINESTRING (114.394995 30.5296403, 114.3960283 30.529727, 114.3960477 30.5297468, 114.3959934 30.530359)",,,
2864448093,2864448097,0,282496086,residential,False,False,32.285,,,"LINESTRING (114.3958894 30.5315028, 114.3958376 30.5317897)",,,
2864448093,2864448089,0,282496086,residential,False,True,68.436,,,"LINESTRING (114.3958894 30.5315028, 114.3959464 30.5308893)",,,
2864448093,2875697589,0,283739284,residential,False,True,103.092,,,"LINESTRING (114.3958894 30.5315028, 114.3948164 30.5314295)",,,
2864448093,2875697590,0,283739285,residential,False,False,31.201,,,"LINESTRING (114.3958894 30.5315028, 114.3960093 30.5317637)",,,
2864448095,2864448088,0,282496084,residential,False,False,59.053,,,"LINESTRING (114.3949442 30.5302784, 114.3949211 30.5308091)",,,
2864448095,2864448090,0,282496084,residential,False,True,71.12,,,"LINESTRING (114.3949442 30.5302784, 114.394995 30.5296403)",,,
2864448095,2864448096,0,282496087,residential,False,False,100.89,,,"LINESTRING (114.3949442 30.5302784, 114.3959934 30.530359)",,,
2864448096,2864448089,0,282496086,residential,False,False,59.138,,,"LINESTRING (114.3959934 30.530359, 114.3959464 30.5308893)",,,
2864448096,2864448095,0,282496087,residential,False,True,100.89,,,"LINESTRING (114.3959934 30.530359, 114.3949442 30.5302784)",,,
2864448096,2864448090,0,282496086,residential,False,True,170.591,,,"LINESTRING (114.3959934 30.530359, 114.3960477 30.5297468, 114.3960283 30.529727, 114.394995 30.5296403)",,,
