u,v,key,osmid,highway,oneway,reversed,length,geometry,name,bridge,lanes,tunnel,service,access
5726340819,5726340818,0,603105989,residential,False,False,9.085,"LINESTRING (113.3427836 23.1505758, 113.3428695 23.1505967)",罗浮山路,,,,,
5726340819,5726340816,0,603105994,living_street,False,False,29.315,"LINESTRING (113.3427836 23.1505758, 113.3428183 23.1503141)",,,,,,
5726340819,5726340808,0,603105989,residential,False,True,17.915000000000003,"LINESTRING (113.3427836 23.1505758, 113.3426285 23.1505379, 113.3426141 23.150535)",罗浮山路,,,,,
5726340820,5726340806,0,603105992,living_street,False,False,36.908,"LINESTRING (113.3430651 23.1504249, 113.3433895 23.1505705)",,,,,,
5726340820,5726340816,0,603105992,living_street,False,True,28.08,"LINESTRING (113.3430651 23.1504249, 113.3428183 23.1503141)",,,,,,
5726340820,5726340821,0,603105995,living_street,False,False,23.011,"LINESTRING (113.3430651 23.1504249, 113.3431229 23.1502249)",,,,,,
5726340821,5726340813,0,603105991,living_street,False,False,27.984,"LINESTRING (113.3431229 23.1502249, 113.3428894 23.1500936)",,,,,,
5726340821,5726340820,0,603105995,living_street,False,True,23.011,"LINESTRING (113.3431229 23.1502249, 113.3430651 23.1504249)",,,,,,
5726340821,5726340806,0,603105991,living_street,False,True,53.265,"LINESTRING (113.3431229 23.1502249, 113.3433814 23.1503702, 113.3433895 23.1505705)",,,,,,
5726340883,1988787243,0,365995701,residential,False,True,26.08,"LINESTRING (113.3393288 23.1508061, 113.3391869 23.151001)",珠江南路,,,,,
5726340883,5726340889,0,365995701,residential,False,False,123.29500000000002,"LINESTRING (113.3393288 23.1508061, 113.3395089 23.1505589, 113.3398585 23.1501104, 113.3401041 23.1499826)",珠江南路,,,,,
5726340883,5726340885,0,603106013,service,False,False,131.635,"LINESTRING (113.3393288 23.1508061, 113.3389033 23.1502724, 113.3386888 23.149789)",,,,,,
5726340885,5726340899,0,603106014,residential,False,False,51.304,"LINESTRING (113.3386888 23.149789, 113.3381935 23.149863)",南山路,,,,,
