element_type,osmid,amenity,bicycle_parking,capacity,covered,geometry,access,fee,lit,operator,surface,nodes,building,description,layer
node,10837137491,bicycle_parking,stands,6,no,POINT (-83.7073479 42.2885071),,,,University of Michigan,,,,,
node,10860698377,bicycle_parking,stands,3,yes,POINT (-83.7108488 42.2934987),yes,no,yes,University of Michigan,concrete,,,,
node,10860698378,bicycle_parking,stands,22,no,POINT (-83.7122302 42.293717),yes,no,yes,University of Michigan,brick,,,,
node,11016929773,bicycle_parking,stands,12,no,POINT (-83.7220732 42.2888787),yes,no,yes,University of Michigan,concrete,,,,
node,11020511523,bicycle_parking,stands,16,no,POINT (-83.7215918 42.2902944),yes,no,yes,University of Michigan,concrete,,,,
node,11064917105,bicycle_parking,stands,24,no,POINT (-83.7350903 42.2843028),yes,no,,,,,,,
node,11064917106,bicycle_parking,stands,38,no,POINT (-83.7343929 42.2842519),yes,no,,,,,,,
node,11064917107,bicycle_parking,stands,42,no,POINT (-83.7342696 42.2838936),yes,no,,,,,,,
node,11065635177,bicycle_parking,stands,8,no,POINT (-83.7206141 42.2902666),,,,,,,,,
node,11065635179,bicycle_parking,stands,16,partial,POINT (-83.7205511 42.2903847),,,,,,,,,
node,11139655380,bicycle_parking,,,,POINT (-83.7400459 42.2487528),,,,,,,,,
node,11139655381,bicycle_parking,,,,POINT (-83.7412726 42.24926),,,,,,,,,
node,11139655385,bicycle_parking,,,,POINT (-83.7411187 42.2520402),,,,,,,,,
node,11139655386,bicycle_parking,,,,POINT (-83.7427787 42.2534534),,,,,,,,,
node,11139655387,bicycle_parking,,,,POINT (-83.7430577 42.2523135),,,,,,,,,
way,268964318,bicycle_parking,stands,42,yes,"POLYGON ((-83.7394833 42.2809572, -83.7394833 42.2808769, -83.7394355 42.2808769, -83.7394355 42.2809572, -83.7394833 42.2809572))",yes,,,,,"[2742538730, 2742538731, 2742538732, 2742538733, 2742538730]",,,
way,268964320,bicycle_parking,stands,30,yes,"POLYGON ((-83.7394789 42.2808538, -83.7394341 42.2808544, -83.7394323 42.2807766, -83.739477 42.280776, -83.7394789 42.2808538))",yes,,,,,"[2742538734, 2742538735, 2742538736, 2742538737, 2742538734]",,,
way,304590729,bicycle_parking,stands,90,no,"POLYGON ((-83.7369017 42.2758199, -83.7368526 42.2758204, -83.7368487 42.2756227, -83.7368977 42.2756222, -83.7369017 42.2758199))",,,,,,"[9172826493, 9172826492, 3091510784, 9172826491, 9172826493]",,,
