u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,access,geometry,tunnel,bridge,service
6586284270,6586284262,0,788462338,,Dangoor Plaza,footway,,False,True,7.681,permissive,"LINESTRING (-0.1776874 51.4984454, -0.1775772 51.4984535)",,,
6586284273,6598449062,0,716597961,,Dangoor Plaza,service,10 mph,False,False,20.37,destination,"LINESTRING (-0.1765809 51.4985074, -0.1765422 51.4983258)",,,
6586284273,7371559428,0,716597961,,Dangoor Plaza,service,10 mph,False,True,9.087,destination,"LINESTRING (-0.1765809 51.4985074, -0.176597 51.4985885)",,,
6586284273,7371559440,0,788306094,,Dangoor Plaza,footway,,False,True,23.654000000000003,permissive,"LINESTRING (-0.1765809 51.4985074, -0.1767143 51.4984985, -0.1769204 51.4984833)",,,
6586961108,6584208468,0,4407475,,Dangoor Plaza,pedestrian,,False,False,10.281,,"LINESTRING (-0.1778089 51.4983325, -0.1778214 51.49839, -0.1778764 51.4983863)",,,
6586961108,6584208469,0,4407475,,Dangoor Plaza,pedestrian,,False,True,9.272,,"LINESTRING (-0.1778089 51.4983325, -0.1777965 51.4982851, -0.1778528 51.4982804)",,,
6586961108,7370249755,0,"[1020546548, 701370159]",,Queen's Lawn,"['steps', 'footway']",,False,True,3.542,permissive,"LINESTRING (-0.1778089 51.4983325, -0.1777869 51.4983345, -0.177758 51.4983354)",,,
6586961111,29354062,0,701295394,,Ayrton Road,service,,True,False,7.117,destination,"LINESTRING (-0.1783636 51.4987707, -0.1784653 51.4987613)",,,
6586961111,10565963998,0,"[721555158, 1135833166]",,,footway,,False,False,3.341,,"LINESTRING (-0.1783636 51.4987707, -0.178367 51.4987921, -0.1783684 51.4988006)",,,
6586961111,7368767296,0,"[788146841, 1135833167]",,,footway,,False,True,27.932,,"LINESTRING (-0.1783636 51.4987707, -0.1783583 51.4987516, -0.1783522 51.4987291, -0.1780347 51.4987541, -0.1780317 51.4987445)",,,
6598449060,7371864276,0,"[702642846, 702642847]",,,"['steps', 'footway']",,False,False,4.082,permissive,"LINESTRING (-0.1767514 51.4983133, -0.1767072 51.4983159, -0.1766927 51.4983168)",,,
6598449062,7371864276,0,702642847,,,footway,,False,True,10.466,permissive,"LINESTRING (-0.1765422 51.4983258, -0.1766927 51.4983168)",,,
6598449062,7371864280,0,716597961,,Dangoor Plaza,service,10 mph,False,False,8.447,destination,"LINESTRING (-0.1765422 51.4983258, -0.1765261 51.4982505)",,,
6598449062,6586284273,0,716597961,,Dangoor Plaza,service,10 mph,False,True,20.37,destination,"LINESTRING (-0.1765422 51.4983258, -0.1765809 51.4985074)",,,
6705384901,6705384906,0,713315218,,Dalby Court,footway,,False,True,48.84,,"LINESTRING (-0.1761879 51.498892, -0.1755599 51.4990922)",,yes,
6705384901,10570882361,0,"[1133279013, 667213277, 713315215]",,"['Sherfield Walkway', 'Dalby Court']",footway,,False,"[False, True]",52.275,,"LINESTRING (-0.1761879 51.498892, -0.1762174 51.4988887, -0.1762681 51.4988719, -0.1764948 51.498854, -0.1769307 51.4988203)",building_passage,yes,
6705384901,1770238861,0,"[713315214, 165484895, 713315215]",,Dalby Court,"['steps', 'footway']",,False,"[False, True]",23.484,permissive,"LINESTRING (-0.1761879 51.498892, -0.1761843 51.4988731, -0.176153 51.4987212, -0.1761551 51.4986822)",,yes,
6705384902,6705384903,0,698340191,,Dalby Court,footway,,False,True,10.487,,"LINESTRING (-0.1750823 51.4991313, -0.1752325 51.499119)",,yes,
6705384903,6705384902,0,698340191,,Dalby Court,footway,,False,False,10.487,,"LINESTRING (-0.1752325 51.499119, -0.1750823 51.4991313)",,yes,
6705384903,6705384906,0,713315217,,Dalby Court,footway,,False,False,22.858,,"LINESTRING (-0.1752325 51.499119, -0.1755599 51.4990922)",,yes,
6705384903,1770238801,0,"[165484894, 698340191]",,Dalby Court,footway,,False,True,88.004,,"LINESTRING (-0.1752325 51.499119, -0.1753771 51.4990352, -0.1754049 51.4990203, -0.1762055 51.4986099)",,yes,
6705384904,6705384906,0,"[713315216, 713315217]",,Dalby Court,"['steps', 'footway']",,False,"[False, True]",23.683,,"LINESTRING (-0.1755999 51.4993037, -0.1755865 51.4992202, -0.1755599 51.4990922)",,yes,
6705384906,6705384903,0,713315217,,Dalby Court,footway,,False,True,22.858,,"LINESTRING (-0.1755599 51.4990922, -0.1752325 51.499119)",,yes,
6705384906,6705384901,0,713315218,,Dalby Court,footway,,False,False,48.84,,"LINESTRING (-0.1755599 51.4990922, -0.1761879 51.498892)",,yes,
6705384906,6705384904,0,"[713315216, 713315217]",,Dalby Court,"['steps', 'footway']",,False,"[False, True]",23.683,,"LINESTRING (-0.1755599 51.4990922, -0.1755865 51.4992202, -0.1755999 51.4993037)",,yes,
6731316344,6524005152,0,788540039,,Callendar Road,service,,False,False,4.288,destination,"LINESTRING (-0.1786109 51.4994461, -0.1785929 51.4994092)",,,
6731316344,6768922419,0,788244262,,,footway,,False,True,18.197,,"LINESTRING (-0.1786109 51.4994461, -0.1787981 51.49943, -0.1788393 51.4993918)",,,
6731316344,7369577091,0,788540039,,Callendar Road,service,,False,True,13.690999999999999,destination,"LINESTRING (-0.1786109 51.4994461, -0.1786264 51.499521, -0.1786364 51.4995682)",,,
6731316347,6584208469,0,"[4407475, 1133856628]",,Dangoor Plaza,pedestrian,,False,False,48.751,,"LINESTRING (-0.1778687 51.4978961, -0.1778811 51.4979588, -0.1777963 51.4979657, -0.177809 51.4980358, -0.1778614 51.4982797, -0.1778528 51.4982804)",,,
6731316347,7933754373,0,1213090895,,Imperial College Road,service,10 mph,False,True,47.459999999999994,destination,"LINESTRING (-0.1778687 51.4978961, -0.1779953 51.4978863, -0.1785493 51.4978446)",,,
6731316347,9412674892,0,1213090896,,Imperial College Road,pedestrian,10 mph,False,False,75.813,destination,"LINESTRING (-0.1778687 51.4978961, -0.1777812 51.4979024, -0.1775725 51.4979181, -0.1767814 51.4979778)",,,
6768922415,6768922427,0,"[667213282, 667213284, 1133279023]",,Ayrton Road,service,,True,False,59.201,"['private', 'destination']","LINESTRING (-0.1765393 51.498913, -0.1767817 51.4988935, -0.1768367 51.4988879, -0.1773111 51.498865, -0.1773902 51.4988619)",building_passage,,
6768922415,6768922416,0,721555157,,,service,,False,False,19.956,destination,"LINESTRING (-0.1765393 51.498913, -0.1765459 51.498946, -0.1765748 51.4990911)",,,
