u,v,key,osmid,lanes,name,highway,access,oneway,reversed,length,geometry,service,bridge,tunnel
1925517827,6563915336,0,182208624,,,footway,,False,True,46.638000000000005,"LINESTRING (114.1399542 22.2838398, 114.139922 22.2838622, 114.1398275 22.2839651, 114.1395617 22.2839891)",,,
1925517827,6563915335,0,182208636,,,steps,,False,False,44.900999999999996,"LINESTRING (114.1399542 22.2838398, 114.1399913 22.2838153, 114.1400312 22.2837809, 114.1400722 22.2837654, 114.140099 22.2837728, 114.1401205 22.2837976, 114.1401339 22.2838547, 114.1401419 22.2840086)",,,
1925517874,6563915336,0,182208618,,,steps,,False,False,16.367,"LINESTRING (114.1395501 22.2838423, 114.1395617 22.2839891)",,,
1925517874,6563915331,0,182208618,,,steps,,False,True,6.68,"LINESTRING (114.1395501 22.2838423, 114.1395296 22.2837853)",,,
1925517874,6563915330,0,698990268,,,footway,,False,True,4.264,"LINESTRING (114.1395501 22.2838423, 114.1395914 22.2838391)",,,
1925517877,1925517682,0,182208626,,,steps,,False,False,8.14,"LINESTRING (114.1396144 22.2826175, 114.1395889 22.2826868)",,,
1925517877,6563915350,0,202152691,,,footway,,False,True,44.256,"LINESTRING (114.1396144 22.2826175, 114.1395053 22.2825788, 114.1393606 22.2824233, 114.1393759 22.2824073, 114.1393993 22.2823478)",,,
1925517877,4524779474,0,456198431,,,footway,,False,False,61.361,"LINESTRING (114.1396144 22.2826175, 114.1399893 22.2827372, 114.1400644 22.2825659)",,,
1925517927,1925517827,0,182208636,,,steps,,False,False,15.241,"LINESTRING (114.1399408 22.2837033, 114.1399542 22.2838398)",,,
1926490121,6580279785,0,456279017,,,footway,,False,True,6.521,"LINESTRING (114.1370979 22.2831392, 114.1371458 22.2831776)",,,
1926490121,6580279790,0,182298782,,,steps,,False,False,18.597,"LINESTRING (114.1370979 22.2831392, 114.1371491 22.2831129, 114.1372054 22.2831129, 114.1372443 22.2830637)",,,
1926490121,4525548843,0,"[456279017, 581918097]",,,footway,,False,False,12.734,"LINESTRING (114.1370979 22.2831392, 114.1370878 22.2831491, 114.1370887 22.28325)",,,
1926490160,1930285637,0,182670423,,大學街 University Street,footway,,False,False,9.479,"LINESTRING (114.1374677 22.2828828, 114.1374708 22.282968)",,yes,
1926490160,1930290857,0,182670423,,大學街 University Street,footway,,False,True,9.748,"LINESTRING (114.1374677 22.2828828, 114.137464 22.2827952)",,yes,
1926490160,6580279790,0,182298782,,,steps,,False,True,31.838,"LINESTRING (114.1374677 22.2828828, 114.1374173 22.2828945, 114.1373415 22.2829344, 114.1372939 22.2830012, 114.1372443 22.2830637)",,,
1926490213,1926490243,0,182298779,,,service,permissive,False,False,50.28999999999999,"LINESTRING (114.135237 22.2832895, 114.1353404 22.2832812, 114.1354834 22.2832717, 114.1355331 22.2832704, 114.1355848 22.2832879, 114.135608 22.2833123, 114.1356299 22.2833392, 114.1356184 22.2833987)",,,
1926490220,293662411,0,182298783,2,,service,permissive,False,False,22.759,"LINESTRING (114.1349943 22.2836871, 114.1350785 22.2837038, 114.1350947 22.283708, 114.135121 22.2837149, 114.1351475 22.2837268, 114.1351913 22.2837667)",,,
1926490243,1926490213,0,182298779,,,service,permissive,False,True,50.29,"LINESTRING (114.1356184 22.2833987, 114.1356299 22.2833392, 114.135608 22.2833123, 114.1355848 22.2832879, 114.1355331 22.2832704, 114.1354834 22.2832717, 114.1353404 22.2832812, 114.135237 22.2832895)",,,
1926490243,6499569780,0,"[182298780, 85320831]",2,仲賢路 Lee Chung Yin Road,service,permissive,False,False,40.704,"LINESTRING (114.1356184 22.2833987, 114.1356618 22.2833786, 114.1356908 22.2833721, 114.1358981 22.2833447, 114.1360054 22.2833349)",,yes,
1926490243,293662411,0,182298780,2,仲賢路 Lee Chung Yin Road,service,permissive,False,True,60.234,"LINESTRING (114.1356184 22.2833987, 114.1355942 22.2834153, 114.1353759 22.2835951, 114.1353272 22.2836325, 114.1352787 22.283668, 114.1352647 22.2836838, 114.1351913 22.2837667)",,,
1930285637,1926490160,0,182670423,,大學街 University Street,footway,,False,True,9.479,"LINESTRING (114.1374708 22.282968, 114.1374677 22.2828828)",,yes,
1930285637,1930285652,0,"[534044208, 534044206, 182670423]",,大學街 University Street,"['steps', 'footway']",,False,False,88.564,"LINESTRING (114.1374708 22.282968, 114.1376032 22.2829619, 114.1379372 22.2829453, 114.138164 22.282934, 114.1381709 22.283088)",,yes,
1930285637,6505344812,0,"[692913413, 692913414]",,,footway,,False,False,62.589,"LINESTRING (114.1374708 22.282968, 114.1374376 22.2829997, 114.1374229 22.2830295, 114.1374162 22.2830705, 114.1374162 22.2831003, 114.1374172 22.28312, 114.1374323 22.2833497, 114.1375839 22.2834363)",,yes,
1930285652,1930285637,0,"[534044208, 534044206, 182670423]",,大學街 University Street,"['steps', 'footway']",,False,True,88.56400000000001,"LINESTRING (114.1381709 22.283088, 114.138164 22.282934, 114.1379372 22.2829453, 114.1376032 22.2829619, 114.1374708 22.282968)",,yes,
1930290857,1926490160,0,182670423,,大學街 University Street,footway,,False,False,9.748,"LINESTRING (114.137464 22.2827952, 114.1374677 22.2828828)",,yes,
1930290857,5180133886,0,"[707832737, 182670420]",,大學街 University Street,footway,,False,True,76.346,"LINESTRING (114.137464 22.2827952, 114.1367782 22.2828174, 114.136779 22.2828432, 114.1367798 22.282869)",,yes,
