u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,service,geometry,width,tunnel,access,bridge,junction
369567405,415963471,0,32795708,footway,False,False,84.59899999999998,,,,,"LINESTRING (6.5655056 46.5185098, 6.5655076 46.5183702, 6.5655056 46.5183482, 6.5655006 46.5183313, 6.5654944 46.5183129, 6.5654873 46.5182988, 6.5654805 46.5182856, 6.5654702 46.5182722, 6.5654536 46.5182553, 6.5654342 46.5182386, 6.5654107 46.5182237, 6.5653808 46.5182089, 6.5653544 46.5181973, 6.5653251 46.5181913, 6.5652873 46.5181865, 6.5652463 46.5181851, 6.5648235 46.5181851, 6.5647845 46.5182169)",,,,,
369567433,415933171,0,30403019,footway,False,False,9.05,,,,,"LINESTRING (6.5633338 46.5182133, 6.5632303 46.5182527)",,,,,
369567433,2942204089,0,30403019,footway,False,True,8.485,,,,,"LINESTRING (6.5633338 46.5182133, 6.563335 46.518137)",,,,,
369567433,4841714900,0,32795708,footway,False,True,60.149,,,,,"LINESTRING (6.5633338 46.5182133, 6.5641199 46.5182139)",,,,,
369567491,1803273483,0,51740696,unclassified,False,False,12.754,2,Allée de Savoie,30,parking_aisle,"LINESTRING (6.56561 46.5185104, 6.5656098 46.5183957)",,,,,
369567491,343331438,0,51740696,unclassified,False,True,32.609,2,Allée de Savoie,30,parking_aisle,"LINESTRING (6.56561 46.5185104, 6.5656012 46.5188036)",,,,,
369567491,369567405,0,1071051328,footway,False,False,7.989,,,,,"LINESTRING (6.56561 46.5185104, 6.5655056 46.5185098)",,,,,
415911771,415957798,0,60431545,footway,False,False,37.409,,,,,"LINESTRING (6.5718095 46.5189663, 6.5718008 46.5190411, 6.5717695 46.5190869, 6.5717305 46.5191194, 6.5716475 46.5191564, 6.5715857 46.519162, 6.571502 46.5191651)",,,,,
415911771,752215519,0,"[60431545, 334140665]",footway,False,"[False, True]",41.546,,,,,"LINESTRING (6.5718095 46.5189663, 6.5718161 46.518835, 6.571807 46.5187799, 6.571779 46.5187306, 6.5717434 46.5186875, 6.5717405 46.5186529, 6.5717564 46.5186045)",,,,,
415915271,418161371,0,975363571,footway,False,True,15.523,,,,,"LINESTRING (6.5683553 46.5218452, 6.5685389 46.5217858)",,,,,
415915271,9025996758,0,"[975363571, 975363567]",footway,False,"[False, True]",7.135,,,,,"LINESTRING (6.5683553 46.5218452, 6.5683011 46.5218628, 6.5682709 46.5218725)",,,,,
415915273,9965509154,0,1087665897,footway,False,False,11.009,,,,,"LINESTRING (6.5642372 46.5220448, 6.5643762 46.5220192)",,,,,
415915273,253204612,0,23385359,unclassified,False,False,11.241,,Avenue Jean-Rodolphe-Perronet,30,,"LINESTRING (6.5642372 46.5220448, 6.564195 46.5219975, 6.5641517 46.521963)",,,,,
415915274,253204612,0,30403003,service,False,True,9.037,,Rue Jean Tschumi,,driveway,"LINESTRING (6.5642042 46.5218902, 6.5641517 46.521963)",,,,,
415915274,6918271758,0,367937780,service,False,False,27.588,,Rue Jean Tschumi,30,driveway,"LINESTRING (6.5642042 46.5218902, 6.5642884 46.5218173, 6.5643855 46.5217559, 6.564465 46.5217222)",,,,,
415915274,415963487,0,367937781,path,False,False,129.70799999999997,,,,,"LINESTRING (6.5642042 46.5218902, 6.5641249 46.5218576, 6.5640723 46.5218428, 6.5640093 46.5218347, 6.5638842 46.5218276, 6.5637389 46.5218183, 6.5636067 46.5218161, 6.5635376 46.5218112, 6.5634879 46.5218055, 6.5634272 46.5217948, 6.5633613 46.5217766, 6.5632876 46.5217451, 6.5632332 46.5217103, 6.5631788 46.5216656, 6.563134 46.5216123, 6.5630546 46.5214977, 6.5629756 46.5213549, 6.5629551 46.5212996)",,,,,
415933171,415963474,0,30403019,footway,False,False,27.108,,,,,"LINESTRING (6.5632303 46.5182527, 6.5629679 46.5184165)",,,,,
415933171,369567433,0,30403019,footway,False,True,9.05,,,,,"LINESTRING (6.5632303 46.5182527, 6.5633338 46.5182133)",,,,,
415933171,1973830473,0,"[35544659, 492128340, 186641015]","['steps', 'footway']",False,False,30.676,,,,,"LINESTRING (6.5632303 46.5182527, 6.5633423 46.5183323, 6.5634152 46.5183869, 6.5634118 46.5184778)",,,,,
415933191,4474790861,0,30879348,service,False,False,6.175,,,,driveway,"LINESTRING (6.565419 46.5188037, 6.5654997 46.5188035)",,,,,
415933191,5685331827,0,30879348,service,False,True,47.806,,,,driveway,"LINESTRING (6.565419 46.5188037, 6.5654161 46.5186297, 6.5654095 46.5186168, 6.5653972 46.518609, 6.5653765 46.5186039, 6.5650632 46.5186013)",,,,,
415933191,4474961714,0,492122679,footway,False,True,47.814,,,,,"LINESTRING (6.565419 46.5188037, 6.5654093 46.5191075, 6.5655926 46.5191068)",,,,,
415957548,264892080,0,181739469,service,True,False,84.857,,Chemin des Machines,30,driveway,"LINESTRING (6.5674746 46.5199397, 6.5675584 46.5198639, 6.5675561 46.519196)",,,,,
415957548,2117504373,0,"[201734764, 201734765]","['path', 'service']",False,True,28.824,,Chemin des Machines,30,driveway,"LINESTRING (6.5674746 46.5199397, 6.5674735 46.5200201, 6.5675145 46.5200605, 6.5675091 46.5201657, 6.5675062 46.5201899)",,,,,
415957548,343329554,0,"[979644464, 30879306, 186639271]","['track', 'service']",False,True,91.583,,Chemin des Machines,30,driveway,"LINESTRING (6.5674746 46.5199397, 6.5673348 46.5199355, 6.5672221 46.5199804, 6.5666279 46.519976, 6.5665008 46.5199338, 6.5664608 46.519931, 6.5664024 46.5199231, 6.5663656 46.5199047, 6.5663437 46.5198767)",,,no,,
415957759,267022644,0,27335913,unclassified,False,False,19.144,,Route des Noyerettes,30,,"LINESTRING (6.5707251 46.5192206, 6.5709753 46.5192219)",7,,,,
415957759,5573879103,0,35468442,service,False,False,6.296,,,30,driveway,"LINESTRING (6.5707251 46.5192206, 6.5707229 46.5192772)",,,,,
