u,v,key,osmid,name,highway,oneway,reversed,length,geometry,bridge,junction
2569335380,2569335608,0,250495197,,path,False,True,66.802,"LINESTRING (120.2696156 31.4883735, 120.2689111 31.4883746)",,
2569335382,2569335633,0,250495211,,footway,False,False,12.115,"LINESTRING (120.2656539 31.4899312, 120.2655262 31.4899276)",,
2569335382,2569335580,0,250495211,,footway,False,True,5.455,"LINESTRING (120.2656539 31.4899312, 120.2657114 31.4899328)",,
2569335382,2569335579,0,250495192,,footway,False,True,72.758,"LINESTRING (120.2656539 31.4899312, 120.2656388 31.4898978, 120.2656066 31.4898109, 120.2655959 31.4897057, 120.2655842 31.4896195, 120.2655262 31.4895388, 120.2654672 31.489461, 120.2654206 31.4894251, 120.2653107 31.4894159)",,
2569335385,2569335517,0,250495205,,service,False,False,17.096,"LINESTRING (120.2697905 31.4890125, 120.2696102 31.4890118)",,
2569335385,2569335355,0,250495199,,service,False,True,92.229,"LINESTRING (120.2697905 31.4890125, 120.2698196 31.4891792, 120.2698624 31.4893279, 120.2699291 31.4894928, 120.2700166 31.4896679, 120.2700977 31.4897931)",,
2569335385,2569335538,0,250495205,,service,False,True,74.777,"LINESTRING (120.2697905 31.4890125, 120.269806 31.4888761, 120.2698624 31.4887, 120.2699214 31.4885697, 120.2700179 31.488373)",,
2569335388,2569335503,0,250495196,,footway,False,True,23.191,"LINESTRING (120.2657113 31.489297, 120.2654672 31.48931)",,
2569335388,2569335657,0,250495202,北学院街,service,True,False,51.92,"LINESTRING (120.2657113 31.489297, 120.265724 31.4888302)",,
2569335398,2569335512,0,250495185,,service,False,False,48.992,"LINESTRING (120.2702706 31.4877528, 120.2707872 31.4877451)",,
2569335398,2569335616,0,250495185,,service,False,True,6.77,"LINESTRING (120.2702706 31.4877528, 120.2701992 31.4877529)",,
2569335398,2569335440,0,250495177,,path,False,True,71.42,"LINESTRING (120.2702706 31.4877528, 120.270271 31.4873408, 120.2702469 31.4873019, 120.270211 31.4872842, 120.270034 31.4872854)",,
2569335407,2569335659,0,250495180,,footway,False,True,11.96,"LINESTRING (120.2642568 31.4895421, 120.2643504 31.48947)",,
2569335407,2569335536,0,250489563,,unclassified,False,False,39.061,"LINESTRING (120.2642568 31.4895421, 120.2643053 31.4895964, 120.2644057 31.4896903, 120.2645358 31.4897999)",,
2569335407,2569335568,0,250489563,,unclassified,False,True,77.426,"LINESTRING (120.2642568 31.4895421, 120.2641824 31.4894588, 120.2640965 31.489333, 120.2640275 31.4891756, 120.2639866 31.4889968, 120.2639761 31.4889014)",,
2569335415,2576540297,0,250495177,,path,False,False,6.96,"LINESTRING (120.2689162 31.4872836, 120.2689896 31.4872837)",,
2569335415,2569268635,0,250495194,,path,False,False,30.678,"LINESTRING (120.2689162 31.4872836, 120.2689041 31.4870079)",,
2569335415,2569335526,0,250495194,,path,False,True,100.532,"LINESTRING (120.2689162 31.4872836, 120.268913 31.4881877)",,
2569335423,2569335531,0,250488877,中央大道,unclassified,False,False,69.942,"LINESTRING (120.2682681 31.4883775, 120.2682674 31.4890065)",,
2569335423,2569245007,0,250488877,中央大道,unclassified,False,True,151.87,"LINESTRING (120.2682681 31.4883775, 120.2682695 31.4870117)",,
2569335423,2569335608,0,250495197,,path,False,False,60.971,"LINESTRING (120.2682681 31.4883775, 120.2689111 31.4883746)",,
2569335426,2569335658,0,250495190,,service,False,True,52.729,"LINESTRING (120.2714728 31.4898313, 120.2714717 31.4903055)",,
2569335426,2569335355,0,250495199,,service,False,False,150.56300000000002,"LINESTRING (120.2714728 31.4898313, 120.2714431 31.4898681, 120.2713278 31.4899573, 120.2711847 31.4900289, 120.2710703 31.4900694, 120.2709657 31.4900923, 120.2708504 31.4901014, 120.2707511 31.4901014, 120.2706492 31.49009, 120.2705392 31.4900625, 120.2704239 31.4900236, 120.2703005 31.4899573, 120.270212 31.4898887, 120.2700977 31.4897931)",,
2569335426,2569335541,0,250495199,,service,False,True,29.753999999999998,"LINESTRING (120.2714728 31.4898313, 120.2715253 31.4897659, 120.2716309 31.4896005)",,
2569335433,2569335610,0,250495183,,footway,False,True,33.297,"LINESTRING (120.265662 31.4888303, 120.2654377 31.4890607)",,
2569335433,2569335657,0,250495203,,service,False,False,5.879,"LINESTRING (120.265662 31.4888303, 120.265724 31.4888302)",,
2569335433,2569335454,0,250495203,,service,False,True,86.467,"LINESTRING (120.265662 31.4888303, 120.2647501 31.4888315)",,
2569335434,2569335526,0,250495193,,path,False,False,26.076999999999998,"LINESTRING (120.2691632 31.4881184, 120.2690962 31.4881687, 120.269009 31.4881868, 120.268913 31.4881877)",,
2569335439,2569335610,0,250495183,,footway,False,False,28.065,"LINESTRING (120.2652865 31.4892581, 120.265308 31.4891643, 120.2653411 31.489111, 120.2654377 31.4890607)",,
2569335439,2569335503,0,250495188,,footway,False,False,18.085,"LINESTRING (120.2652865 31.4892581, 120.2653572 31.4892803, 120.2654672 31.48931)",,
2569335439,2569335498,0,250495188,,footway,False,True,21.819,"LINESTRING (120.2652865 31.4892581, 120.265139 31.4892421, 120.2650665 31.4892105)",,
2569335440,2576540297,0,250495177,,path,False,True,99.033,"LINESTRING (120.270034 31.4872854, 120.2689896 31.4872837)",,
2569335440,2569335378,0,250495178,,path,False,False,30.274,"LINESTRING (120.270034 31.4872854, 120.2700448 31.4870133)",,
2569335440,2569335398,0,250495177,,path,False,False,71.41999999999999,"LINESTRING (120.270034 31.4872854, 120.270211 31.4872842, 120.2702469 31.4873019, 120.270271 31.4873408, 120.2702706 31.4877528)",,
