u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel,maxspeed,lanes,name,width,access,service
688404528,314502410,0,54678864,footway,False,True,20.378,"LINESTRING (-71.1149972 42.3741731, -71.1147663 42.3742401)",,,,,,,
688404528,8723325401,0,54678868,footway,False,False,21.949,"LINESTRING (-71.1149972 42.3741731, -71.1151479 42.3740101)",,,,,,,
688404535,8731092072,0,54678881,footway,False,False,10.665,"LINESTRING (-71.1180061 42.3743868, -71.1178844 42.3744202)",,,,,,,
688404535,391540579,0,54678881,footway,False,True,20.239,"LINESTRING (-71.1180061 42.3743868, -71.1182372 42.3743237)",,,,,,,
688404535,688404537,0,942884346,footway,False,False,12.426,"LINESTRING (-71.1180061 42.3743868, -71.118024 42.3744274, -71.1180179 42.3744963)",,,,,,,
7631495225,314502517,0,28616480,service,True,False,44.819,"LINESTRING (-71.1150852 42.3763665, -71.1150682 42.3763215, -71.115045 42.3762681, -71.1150079 42.3762169, -71.1149494 42.3761807, -71.1148848 42.3761613, -71.1147057 42.3761383)",,,,,,,
7631495225,688404598,0,"[817122355, 817122356]",footway,False,False,47.592000000000006,"LINESTRING (-71.1150852 42.3763665, -71.1151495 42.3763508, -71.1156424 42.3762494)",,,,,,,
7631495225,7631495228,0,"[817122353, 817122354, 817122355]",footway,False,True,54.39,"LINESTRING (-71.1150852 42.3763665, -71.1150303 42.3763799, -71.1144818 42.3764958, -71.1144503 42.3765049)",,,,,,,
688404538,345506964,0,31090310,footway,False,False,7.887,"LINESTRING (-71.117931 42.3745953, -71.1178369 42.3745812)",,,,,,,
688404538,286563064,0,942673958,footway,False,False,19.828,"LINESTRING (-71.117931 42.3745953, -71.1180949 42.3747262)",,,,,,,
688404538,345506910,0,31090310,footway,False,True,33.056,"LINESTRING (-71.117931 42.3745953, -71.1182571 42.3746441, -71.1183254 42.3746543)",,,,,,,
688404537,314502300,0,54678879,footway,False,True,12.542,"LINESTRING (-71.1180179 42.3744963, -71.1178669 42.3744796)",,,,,,,
688404537,345506911,0,54678879,footway,False,False,41.132000000000005,"LINESTRING (-71.1180179 42.3744963, -71.1183331 42.3745407, -71.1184949 42.3745987)",,,,,,,
688404537,688404535,0,942884346,footway,False,True,12.426,"LINESTRING (-71.1180179 42.3744963, -71.118024 42.3744274, -71.1180061 42.3743868)",,,,,,,
7631495228,61317517,0,28616480,service,True,False,7.058,"LINESTRING (-71.1144503 42.3765049, -71.1144736 42.376566)",,,,,,,
7631495228,7631495225,0,"[817122353, 817122354, 817122355]",footway,False,False,54.39,"LINESTRING (-71.1144503 42.3765049, -71.1144818 42.3764958, -71.1150303 42.3763799, -71.1150852 42.3763665)",,,,,,,
7631495228,7631495218,0,"[817122354, 844953946]",footway,False,True,18.487000000000002,"LINESTRING (-71.1144503 42.3765049, -71.1144108 42.3765126, -71.1142887 42.3765359, -71.1142518 42.376531, -71.1142326 42.3765255)",,,,,,,
688404540,286563064,0,54678882,footway,False,True,18.035,"LINESTRING (-71.1183086 42.3747634, -71.1180949 42.3747262)",,,,,,,
688404540,688404542,0,54678883,footway,False,False,13.404,"LINESTRING (-71.1183086 42.3747634, -71.1184051 42.3746662)",,,,,,,
688404540,688404543,0,54678883,footway,False,True,3.513,"LINESTRING (-71.1183086 42.3747634, -71.1182841 42.3747893)",,,,,,,
688404542,345506910,0,31090310,footway,False,False,6.679,"LINESTRING (-71.1184051 42.3746662, -71.1183254 42.3746543)",,,,,,,
688404542,688404540,0,54678883,footway,False,True,13.404,"LINESTRING (-71.1184051 42.3746662, -71.1183086 42.3747634)",,,,,,,
688404543,688404540,0,54678883,footway,False,False,3.513,"LINESTRING (-71.1182841 42.3747893, -71.1183086 42.3747634)",,,,,,,
389963836,389967619,0,34028061,footway,False,False,49.624,"LINESTRING (-71.1176309 42.373272, -71.117061 42.373124)",,,,,,,
389963836,391539703,0,34028077,footway,False,True,25.042,"LINESTRING (-71.1176309 42.373272, -71.1175549 42.3734901)",,,,,,,
389963836,391543590,0,34145531,footway,False,True,39.663,"LINESTRING (-71.1176309 42.373272, -71.1177341 42.3733258, -71.1178434 42.3734305, -71.1179124 42.373506, -71.1179362 42.373542)",,,,,,,
