u,v,key,osmid,highway,oneway,reversed,length,geometry,name,tunnel,bridge,service
2271615962,5736651284,0,544166219,residential,False,False,5.452,"LINESTRING (103.9292001 30.7576623, 103.9292128 30.7576145)",,,,
2271615962,7913199869,0,544166219,residential,False,True,7.993,"LINESTRING (103.9292001 30.7576623, 103.9291692 30.7577291)",,,,
2271615970,7913199875,0,217855069,residential,False,False,64.768,"LINESTRING (103.9275793 30.7577854, 103.928206 30.7575635)",,,,
2271615970,7941524329,0,630914103,residential,False,True,10.68,"LINESTRING (103.9275793 30.7577854, 103.9275446 30.7576941)",丹桂路,,,
2271615970,2271616115,0,630914103,residential,False,False,108.57900000000001,"LINESTRING (103.9275793 30.7577854, 103.9278595 30.7583683, 103.9279641 30.7585924, 103.9280122 30.7586882)",丹桂路,,,
2271616009,5315834736,0,217855169,residential,False,False,32.476,"LINESTRING (103.9301924 30.7579832, 103.9298763 30.7578759)",,,,
2271616009,5260013532,0,604832423,residential,False,False,35.442,"LINESTRING (103.9301924 30.7579832, 103.9303646 30.7577009)",银杏大道,,,
2271616009,5260013536,0,604832423,residential,False,True,69.455,"LINESTRING (103.9301924 30.7579832, 103.9301465 30.7580832, 103.9301067 30.7581972, 103.9300728 30.758327, 103.9300424 30.7584765, 103.9300132 30.758587)",银杏大道,,,
2271616093,5315834739,0,544166219,residential,False,True,11.002,"LINESTRING (103.9288881 30.7585062, 103.9289169 30.758602)",,,,
2271616093,7913199863,0,217855122,residential,False,True,59.174,"LINESTRING (103.9288881 30.7585062, 103.9283745 30.7585803, 103.9282777 30.7585959)",,,,
2271616093,7913199869,0,544166219,residential,False,False,91.67399999999999,"LINESTRING (103.9288881 30.7585062, 103.9288799 30.7584025, 103.9288964 30.7583059, 103.9289242 30.7582318, 103.9291692 30.7577291)",,,,
2271616115,7913199863,0,217855122,residential,False,False,27.367,"LINESTRING (103.9280122 30.7586882, 103.9282777 30.7585959)",,,,
2271616115,2271616160,0,630914103,residential,False,False,16.853,"LINESTRING (103.9280122 30.7586882, 103.9280726 30.7588306)",丹桂路,,,
