element_type,osmid,nodes,building,name,tourism,geometry,amenity,office,name:en,layer,shop,landuse,man_made,monitoring:weather,natural,ways,type
way,114365638,"[1295647793, 1295647773, 1295647770, 1295647779, 1295647793]",yes,门诊部,,"POLYGON ((114.3477024 30.4762661, 114.3481222 30.4762737, 114.3481273 30.4764025, 114.3477055 30.4763962, 114.3477024 30.4762661))",public_building,,,,,,,,,,
way,114365643,"[1295647782, 1295647767, 1295647778, 1295647771, 1295647782]",yes,住院部,,"POLYGON ((114.3479929 30.4765533, 114.3483834 30.4765527, 114.3483837 30.4766683, 114.3479931 30.4766691, 114.3479929 30.4765533))",public_building,,,,,,,,,,
way,114365645,"[1295647798, 1295647794, 1295647797, 1295647767, 1295647778, 8734423176, 1295647798]",yes,急诊室,,"POLYGON ((114.348521 30.4766681, 114.3485206 30.4765525, 114.348449 30.4765527, 114.3483834 30.4765527, 114.3483837 30.4766683, 114.3484459 30.4766684, 114.348521 30.4766681))",public_building,,,,,,,,,,
way,114365646,"[1295647797, 8734423173, 8992856409, 1295647791, 1295647785, 8992856408, 1295647789, 8734423174, 8734423175, 8734423176, 1295647798, 1295647794, 1295647797]",yes,,,"POLYGON ((114.348449 30.4765527, 114.3484506 30.4764391, 114.3484021 30.4764388, 114.3483745 30.4764386, 114.3483738 30.4762721, 114.348403 30.4762739, 114.3486201 30.4762874, 114.3485996 30.4768541, 114.3484393 30.4768501, 114.3484459 30.4766684, 114.348521 30.4766681, 114.3485206 30.4765525, 114.348449 30.4765527))",public_building,,,1,,,,,,,
way,114365649,"[1295647764, 1295647763, 1295647780, 1295647795, 1295647765, 1295647769, 1295647766, 1295647777, 1295647776, 1295647783, 1295647772, 1295647784, 1295647768, 1295647786, 1295647781, 1295647764]",yes,,,"POLYGON ((114.3478063 30.477937, 114.3485032 30.4779335, 114.3484871 30.477559, 114.3485622 30.477559, 114.3485622 30.4774897, 114.3484173 30.4774851, 114.3484281 30.47767, 114.3483602 30.4777134, 114.3482403 30.4777162, 114.348192 30.4776607, 114.3480204 30.4776654, 114.348015 30.477425, 114.3483315 30.4774065, 114.3483369 30.4772077, 114.347779 30.4772123, 114.3478063 30.477937))",,,,,,,,,,,
way,114365650,"[1295647790, 1295647796, 1295647792, 1295647775, 1295647788, 1295647762, 1295647790]",yes,,,"POLYGON ((114.3479685 30.4769607, 114.3485861 30.4769476, 114.3485841 30.4768778, 114.3481034 30.476888, 114.3481012 30.4768086, 114.3479643 30.4768115, 114.3479685 30.4769607))",public_building,,,,,,,,,,
way,114367114,"[1295650933, 1295650947, 1295650948, 1295650943, 1295650933]",yes,一招食堂,,"POLYGON ((114.3470068 30.4776631, 114.3474504 30.4776621, 114.3474502 30.477611, 114.3470066 30.477612, 114.3470068 30.4776631))",public_building,,,,,,,,,,
way,126183278,"[1399501535, 1399501501, 1399501489, 1399501503, 1399501535]",yes,,,"POLYGON ((114.3496381 30.4762398, 114.3491109 30.4762514, 114.3491108 30.476362, 114.3496434 30.4763585, 114.3496381 30.4762398))",,,,,,,,,,,
way,126183279,"[1399501475, 1399501484, 1399501472, 1399501486, 1399501495, 1399501497, 1399501483, 1399501477, 1399501530, 1220958696, 1399501518, 1399501475]",yes,水产,,"POLYGON ((114.3518185 30.4752129, 114.351443 30.4752198, 114.351392 30.4749933, 114.3519839 30.474985, 114.3519821 30.474672, 114.3518507 30.474672, 114.3518535 30.4748263, 114.3514564 30.4748338, 114.3511748 30.4748708, 114.3512716 30.4753365, 114.3518149 30.4753249, 114.3518185 30.4752129))",public_building,,,,,,,,,,
way,126183280,"[1399501479, 1399501482, 1399501469, 1399501504, 1399501479]",yes,,,"POLYGON ((114.3497674 30.4762179, 114.3497655 30.4761289, 114.3500805 30.4761237, 114.3500825 30.4762127, 114.3497674 30.4762179))",,,,,,,,,,,
way,126183282,"[1399501481, 1399501496, 1399501519, 1399501474, 1399501481]",yes,,,"POLYGON ((114.3491988 30.4765306, 114.349648 30.4765288, 114.3496487 30.4766502, 114.3491994 30.476652, 114.3491988 30.4765306))",,,,,,,,,,,
way,126183283,"[1399501526, 1399501533, 1399501488, 1399501532, 1399501526]",yes,,,"POLYGON ((114.3497841 30.4763298, 114.3500989 30.4763298, 114.350099 30.4764233, 114.3497841 30.4764233, 114.3497841 30.4763298))",,,,,,,,,,,
way,126183284,"[1399501527, 1399501523, 1399501531, 1399501471, 1399501527]",yes,,,"POLYGON ((114.3493146 30.476215, 114.3493167 30.4761328, 114.3496622 30.4761392, 114.3496602 30.4762213, 114.3493146 30.476215))",,,,,,,,,,,
way,126183999,"[1399508880, 1399508812, 1399508832, 1399508916, 1399508880]",yes,,,"POLYGON ((114.349898 30.4773599, 114.3501045 30.4773538, 114.3501082 30.4774462, 114.3499016 30.4774523, 114.349898 30.4773599))",,,,,,,,,,,
