u,v,key,osmid,highway,access,oneway,reversed,length,tunnel,geometry,junction,bridge,service,name
1288541837,1297097902,0,113655502,service,permissive,False,False,92.576,,"LINESTRING (121.4034156 31.2310238, 121.4025006 31.2307392)",,,,
1288541837,1288541774,0,113655502,service,permissive,False,True,44.39,,"LINESTRING (121.4034156 31.2310238, 121.4035795 31.23065)",,,,
1288541837,1317204277,0,116940016,service,permissive,False,False,99.519,,"LINESTRING (121.4034156 31.2310238, 121.4033464 31.2311921, 121.4041307 31.2314446)",,,,
1288541868,1288652700,0,113655502,service,permissive,False,False,63.98,,"LINESTRING (121.4040335 31.2295289, 121.4038116 31.2300721)",,,,
1288541868,1288546433,0,113655711,service,permissive,False,False,60.035,,"LINESTRING (121.4040335 31.2295289, 121.4041889 31.2290056)",,,,
1288541868,1130831368,0,375892090,service,permissive,False,False,61.45,,"LINESTRING (121.4040335 31.2295289, 121.4034133 31.2293735)",,,,
1288541877,3829559418,0,97674418,service,permissive,False,True,20.193,,"LINESTRING (121.3988258 31.2318841, 121.3988838 31.2317094)",,,,
1288541877,1288664487,0,113655479,service,permissive,False,False,71.12,,"LINESTRING (121.3988258 31.2318841, 121.3981051 31.2317129)",,,,
1288541877,1130836040,0,97674418,service,permissive,False,False,108.669,,"LINESTRING (121.3988258 31.2318841, 121.3986219 31.2325016, 121.3985177 31.2328252)",,,,
1288541891,1288541774,0,"[113655490, 113655508]",service,permissive,False,True,128.037,,"LINESTRING (121.404526 31.2305823, 121.404439 31.2305329, 121.4043385 31.2308922, 121.4035795 31.23065)",,,,
1288546433,1288541868,0,113655711,service,permissive,False,True,60.035,,"LINESTRING (121.4041889 31.2290056, 121.4040335 31.2295289)",,,,
1288546433,3806362890,0,113655711,service,permissive,False,False,83.376,,"LINESTRING (121.4041889 31.2290056, 121.4043224 31.2285986, 121.4043492 31.2284977, 121.4043385 31.2284473, 121.4042893 31.2283761, 121.4041891 31.2283495)",,,,
1288546433,3817595128,0,"[116940030, 377168919]",service,permissive,False,False,94.209,building_passage,"LINESTRING (121.4041889 31.2290056, 121.4032763 31.2287821, 121.4032363 31.2287726)",,,,
1288546442,3788622826,0,97673843,service,permissive,False,True,6.775,,"LINESTRING (121.4029733 31.2282997, 121.4029711 31.2283606)",,,,
1288546442,3817595113,0,113655712,service,permissive,False,True,46.708,,"LINESTRING (121.4029733 31.2282997, 121.4034418 31.228426)",,,,
1288546442,1288546454,0,97673843,service,permissive,False,False,44.662,,"LINESTRING (121.4029733 31.2282997, 121.4029805 31.2281637, 121.4030033 31.2278989)",,,,
1288546443,3806362890,0,113655711,service,permissive,False,True,42.01,,"LINESTRING (121.4037671 31.2282376, 121.4041891 31.2283495)",,,,
1288546443,3817595113,0,113655712,service,permissive,False,False,52.436,,"LINESTRING (121.4037671 31.2282376, 121.4036741 31.2284886, 121.4034418 31.228426)",,,,
1288546443,3817595113,1,378346028,footway,,False,True,39.806,,"LINESTRING (121.4037671 31.2282376, 121.4037038 31.2282302, 121.403652 31.2282489, 121.4036127 31.2282825, 121.4035598 31.2283368, 121.4035204 31.2283834, 121.4034418 31.228426)",,,,
1288546443,3822449859,0,378622977,service,permissive,False,False,11.845,,"LINESTRING (121.4037671 31.2282376, 121.4037855 31.2281843, 121.403778 31.2281514, 121.4037711 31.228135)",,,driveway,
1288546454,1288664485,0,97673843,service,permissive,False,False,8.249,,"LINESTRING (121.4030033 31.2278989, 121.4030094 31.2278249)",,,,
1288546454,1288546442,0,97673843,service,permissive,False,True,44.662,,"LINESTRING (121.4030033 31.2278989, 121.4029805 31.2281637, 121.4029733 31.2282997)",,,,
1288546454,3822449859,0,378622977,service,permissive,False,True,78.501,,"LINESTRING (121.4030033 31.2278989, 121.4037159 31.2280892, 121.4037567 31.2281125, 121.4037711 31.228135)",,,driveway,
1288652662,3925409218,0,113662987,service,permissive,False,False,39.042,,"LINESTRING (121.3989075 31.2260393, 121.3988969 31.2256883)",,,,
1288652662,3824265561,0,113662987,service,permissive,False,True,70.837,,"LINESTRING (121.3989075 31.2260393, 121.3992389 31.2261221, 121.399505 31.2262282, 121.3996111 31.2262298)",,,,
1288652663,3925427728,0,113662987,service,permissive,False,True,58.329,,"LINESTRING (121.3988649 31.2246056, 121.3988801 31.22513)",,,,
1288652663,1317204486,0,116940039,service,permissive,False,False,28.52,,"LINESTRING (121.3988649 31.2246056, 121.398565 31.2246092)",,,,
1288652663,1288652697,0,113662987,service,permissive,False,False,149.604,,"LINESTRING (121.3988649 31.2246056, 121.398808 31.2240963, 121.3987992 31.2237894, 121.3981832 31.2237951)",,,,
1288652668,1288664503,0,380998842,service,permissive,False,False,73.693,,"LINESTRING (121.4004349 31.2329391, 121.4012014 31.2328408)",,,driveway,
1288652670,1130831368,0,97673842,service,permissive,False,False,61.504,,"LINESTRING (121.4030508 31.2298316, 121.4034133 31.2293735)",,,,
1288652670,1130831376,0,97673842,service,permissive,False,True,53.154,,"LINESTRING (121.4030508 31.2298316, 121.4027375 31.2302275)",,,,
1288652670,1288652700,0,113662993,service,permissive,False,True,77.498,,"LINESTRING (121.4030508 31.2298316, 121.4032392 31.2298871, 121.403273 31.2299144, 121.4038116 31.2300721)",,,,
1288652677,1130831384,0,97673842,service,permissive,False,False,28.806,,"LINESTRING (121.4016228 31.2325569, 121.4017583 31.2323252)",,,,
1288652677,3842607405,0,97673842,service,permissive,False,True,62.562,,"LINESTRING (121.4016228 31.2325569, 121.4013083 31.2330511)",,,,
1288652677,1317248020,0,113662989,service,permissive,False,False,25.213,,"LINESTRING (121.4016228 31.2325569, 121.4018386 31.2326315, 121.4018648 31.2326152)",,,,
1288652679,3829559418,0,97674418,service,permissive,False,False,18.608,,"LINESTRING (121.3989372 31.2315484, 121.3988838 31.2317094)",,,,
1288652679,1317204480,0,97674418,service,permissive,False,True,34.116,,"LINESTRING (121.3989372 31.2315484, 121.3990333 31.2312528)",,,,
1288652679,3829559412,0,113662990,service,permissive,False,False,39.52,,"LINESTRING (121.3989372 31.2315484, 121.3993367 31.2316465)",,,driveway,
1288652679,3833925427,0,113662990,service,permissive,False,True,14.704,,"LINESTRING (121.3989372 31.2315484, 121.3987883 31.2315127)",,,driveway,
1288652680,1288652681,0,113662988,service,permissive,False,True,8.57,,"LINESTRING (121.3997998 31.2317603, 121.3998273 31.2316869)",,,,
1288652680,3829559412,0,113662990,service,permissive,False,True,45.814,,"LINESTRING (121.3997998 31.2317603, 121.3993367 31.2316465)",,,driveway,
1288652680,3830473354,0,379343420,footway,,False,False,20.103,,"LINESTRING (121.3997998 31.2317603, 121.3997384 31.2319333)",,,,
1288652681,1288652680,0,113662988,service,permissive,False,False,8.57,,"LINESTRING (121.3998273 31.2316869, 121.3997998 31.2317603)",,,,
1288652681,1288652694,0,113662988,service,permissive,False,True,240.406,,"LINESTRING (121.3998273 31.2316869, 121.3999291 31.2313853, 121.4001223 31.2312763, 121.4004782 31.2307898, 121.400573 31.2306321, 121.4006281 31.2305183, 121.4008855 31.2297743)",,,,
1288652681,3830464980,0,"[114518353, 375220473, 113662986]",service,permissive,False,False,18.119,,"LINESTRING (121.3998273 31.2316869, 121.3998547 31.2316952, 121.3999704 31.2317312, 121.4000063 31.2317428)",,yes,driveway,
