u,v,key,osmid,highway,oneway,reversed,length,geometry,service
4017840118,4017824627,0,399055360,service,False,True,42.35,"LINESTRING (116.3531262 39.9606129, 116.3531173 39.9609937)",
4017840119,4017834794,0,399047067,service,False,False,64.374,"LINESTRING (116.3511055 39.9593419, 116.3518606 39.959355)",
4017840119,4017834790,0,399047067,service,False,True,79.677,"LINESTRING (116.3511055 39.9593419, 116.3501709 39.9593257)",
4017840119,8821671891,0,399048653,service,False,False,62.356,"LINESTRING (116.3511055 39.9593419, 116.3511287 39.9587814)",
4017840119,4017437062,0,399048653,service,False,True,55.93,"LINESTRING (116.3511055 39.9593419, 116.3510875 39.9598447)",
4017893147,4017911125,0,399053825,service,False,False,60.124,"LINESTRING (116.3518296 39.9571433, 116.352535 39.9571416)",
4017893147,1226520217,0,399053825,service,False,True,53.57,"LINESTRING (116.3518296 39.9571433, 116.3512011 39.9571448)",
4017893147,2857344066,0,399053826,service,False,True,14.36,"LINESTRING (116.3518296 39.9571433, 116.3518339 39.9570142)",
4017893148,4017824618,0,399053824,service,False,False,55.662,"LINESTRING (116.3511657 39.9580237, 116.3511876 39.9575234)",
4017893148,3511265494,0,399053824,service,False,True,40.405,"LINESTRING (116.3511657 39.9580237, 116.351151 39.9583869)",
4017893148,4017893149,0,399053828,service,False,False,112.485,"LINESTRING (116.3511657 39.9580237, 116.3524854 39.9580318)",
4017893149,4017893148,0,399053828,service,False,True,112.485,"LINESTRING (116.3524854 39.9580318, 116.3511657 39.9580237)",
4017893149,4017924034,0,399055359,service,False,False,17.188,"LINESTRING (116.3524854 39.9580318, 116.3524975 39.9578775)",
4017893149,3511265499,0,399055359,service,False,True,38.668,"LINESTRING (116.3524854 39.9580318, 116.352472 39.9583794)",
4017911121,4017824621,0,399047063,service,False,False,113.846,"LINESTRING (116.3534148 39.9583865, 116.3547505 39.9583827)",
4017911121,3511265499,0,399047063,service,False,True,80.361,"LINESTRING (116.3534148 39.9583865, 116.3531895 39.9583855, 116.352472 39.9583794)",
4017911121,4017911124,0,399055358,service,False,False,221.673,"LINESTRING (116.3534148 39.9583865, 116.3534121 39.9581244, 116.3546218 39.9581367, 116.3546459 39.9573328)",
4017911124,4017911121,0,399055358,service,False,True,221.673,"LINESTRING (116.3546459 39.9573328, 116.3546218 39.9581367, 116.3534121 39.9581244, 116.3534148 39.9583865)",
4017911125,2857344067,0,399053825,service,False,False,12.045,"LINESTRING (116.352535 39.9571416, 116.3526763 39.9571432)",
4017911125,4017893147,0,399053825,service,False,True,60.124,"LINESTRING (116.352535 39.9571416, 116.3518296 39.9571433)",
4017911125,4017824619,0,399055359,service,False,True,44.681,"LINESTRING (116.352535 39.9571416, 116.3525109 39.957543)",
4017924034,4017824619,0,399055359,service,False,False,37.212,"LINESTRING (116.3524975 39.9578775, 116.3525109 39.957543)",
4017924034,4017893149,0,399055359,service,False,True,17.188,"LINESTRING (116.3524975 39.9578775, 116.3524854 39.9580318)",
4017924034,4017924035,0,399056762,service,False,False,65.492,"LINESTRING (116.3524975 39.9578775, 116.3532656 39.9578938)",
4017924035,4017924034,0,399056762,service,False,True,65.492,"LINESTRING (116.3532656 39.9578938, 116.3524975 39.9578775)",
4017924041,2857344071,0,281751526,service,False,False,47.347,"LINESTRING (116.3536182 39.9616368, 116.3541734 39.9616516)",
4017924041,4121570006,0,281751526,service,False,True,96.886,"LINESTRING (116.3536182 39.9616368, 116.3524825 39.9615987)",
4017924041,8973662958,0,399056764,service,False,True,78.996,"LINESTRING (116.3536182 39.9616368, 116.3535417 39.9623448)",
4017924042,4017837362,0,399048056,service,False,False,44.207,"LINESTRING (116.3540595 39.9631733, 116.3545773 39.9631968)",
4017924042,8973662960,0,399048056,service,False,True,48.131,"LINESTRING (116.3540595 39.9631733, 116.3534948 39.9631676)",
4017924042,4017931894,0,399056765,service,False,False,43.054,"LINESTRING (116.3540595 39.9631733, 116.3540919 39.9627869)",
4017931889,2857344071,0,399056765,service,False,False,53.143,"LINESTRING (116.3541472 39.9621291, 116.3541734 39.9616516)",
4017931889,4017931892,0,399056765,service,False,True,35.043,"LINESTRING (116.3541472 39.9621291, 116.3541208 39.9624436)",
4017931889,4017931890,0,399057337,service,False,False,41.941,"LINESTRING (116.3541472 39.9621291, 116.3546393 39.962129)",
4017931890,4017931891,0,399048058,service,False,False,51.907,"LINESTRING (116.3546393 39.962129, 116.3546647 39.9616626)",
