u,v,key,osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,ref,service,access,bridge,tunnel
542902769,4039116194,0,"[220083557, 220083558]",,"['steps', 'footway']",,,False,False,8.209,,"LINESTRING (-71.0870499 42.3611465, -71.0870464 42.3611842, -71.0870418 42.3612173, -71.087041 42.36122)",,,,,
542902771,4328995188,0,43250512,,footway,,,False,False,20.414,,"LINESTRING (-71.0870684 42.3613095, -71.0872959 42.3612357)",,,,,
542902771,4039116192,0,"[43250512, 434970306]",Escher's Canyon,"['corridor', 'footway']",,,False,True,36.19,,"LINESTRING (-71.0870684 42.3613095, -71.0867495 42.3614147, -71.0866659 42.3614417)",,,private,,
542902771,4039116194,0,220083557,,footway,,,False,True,10.554,,"LINESTRING (-71.0870684 42.3613095, -71.0870362 42.3612582, -71.087041 42.36122)",,,,,
542902983,2292050577,0,43250512,,footway,,,False,False,25.756999999999998,,"LINESTRING (-71.0875994 42.3611754, -71.0878672 42.3610838, -71.0878839 42.3610781)",,,,,
542902983,4328995188,0,43250512,,footway,,,False,True,26.573999999999998,,"LINESTRING (-71.0875994 42.3611754, -71.0874048 42.3612416, -71.0872959 42.3612357)",,,,,
542902983,5562633683,0,"[43250962, 401489186]",,"['corridor', 'footway']",,,False,False,72.565,,"LINESTRING (-71.0875994 42.3611754, -71.087536 42.3616092, -71.0875191 42.3617411, -71.0874064 42.3617319)",,,,,
542903462,545542093,0,43250965,,footway,,,False,False,15.272,,"LINESTRING (-71.0885426 42.360801, -71.0884735 42.3606735)",,,,,
542903462,542903471,0,220083632,,footway,,,False,False,23.192,,"LINESTRING (-71.0885426 42.360801, -71.0888006 42.3607164)",,,,,
542903462,2292050357,0,220083632,,footway,,,False,True,24.822,,"LINESTRING (-71.0885426 42.360801, -71.0882671 42.3608926)",,,,,
542903470,3862046853,0,8616041,,footway,,,False,False,23.939,,"LINESTRING (-71.0879976 42.3598919, -71.087732 42.3599804)",,,,,
542903470,542903494,0,8616041,,footway,,,False,True,22.251,,"LINESTRING (-71.0879976 42.3598919, -71.0882445 42.3598097)",,,,,
542903470,545538116,0,43250965,,footway,,,False,True,19.257,,"LINESTRING (-71.0879976 42.3598919, -71.0880971 42.3600487)",,,,,
542903470,5674279875,0,220085034,,footway,,,False,True,11.701,,"LINESTRING (-71.0879976 42.3598919, -71.0879437 42.3597945)",,,,,
542903471,545542088,0,43250967,,footway,,,False,False,15.036,,"LINESTRING (-71.0888006 42.3607164, -71.08872 42.360595)",,,,,
542903471,542903462,0,220083632,,footway,,,False,True,23.192,,"LINESTRING (-71.0888006 42.3607164, -71.0885426 42.360801)",,,,,
542903471,542905536,0,43251086,,footway,,,False,False,34.35,,"LINESTRING (-71.0888006 42.3607164, -71.0890303 42.3606391, -71.0891831 42.3605918)",,,,,
542903494,542903470,0,8616041,,footway,,,False,False,22.251,,"LINESTRING (-71.0882445 42.3598097, -71.0879976 42.3598919)",,,,,
542903494,11591860907,0,8616041,,footway,,,False,True,11.021,,"LINESTRING (-71.0882445 42.3598097, -71.0883668 42.359769)",,,,,
542903494,545538115,0,43250967,,footway,,,False,True,19.309,,"LINESTRING (-71.0882445 42.3598097, -71.0883408 42.3599681)",,,,,
542904247,542904824,0,43250989,,footway,,,False,False,44.166,,"LINESTRING (-71.0900206 42.359257, -71.0902433 42.3596185)",,,,,
542904247,1914362736,0,43250989,,footway,,,False,True,8.378,,"LINESTRING (-71.0900206 42.359257, -71.0899311 42.3592931)",,,,,
542904247,542905037,0,43251060,,footway,,,False,True,61.252,,"LINESTRING (-71.0900206 42.359257, -71.089775 42.3597771)",,,,,
542904247,4329906126,0,435052276,,footway,,,False,True,9.553,,"LINESTRING (-71.0900206 42.359257, -71.0899048 42.3592493)",,,,,
542904252,542904824,0,43250989,,footway,,,False,True,42.408,,"LINESTRING (-71.0904505 42.3599678, -71.0902433 42.3596185)",,,,,
542904252,981493486,0,43250989,,footway,,,False,False,22.438000000000002,,"LINESTRING (-71.0904505 42.3599678, -71.0905018 42.3600533, -71.0905617 42.3601521)",,,,,
542904252,542905037,0,43250990,,footway,,,False,False,59.416000000000004,,"LINESTRING (-71.0904505 42.3599678, -71.0897881 42.3597813, -71.089775 42.3597771)",,,,,
542904252,4329135165,0,"[434979489, 434979490, 43250990]",,"['steps', 'footway']",,,False,"[False, True]",16.068,,"LINESTRING (-71.0904505 42.3599678, -71.0905398 42.3599913, -71.0905659 42.3599982, -71.0905699 42.3600046, -71.0905833 42.3600274, -71.090595 42.3600477)",,,,,
542904258,981493486,0,43250989,,footway,,,False,True,12.609,,"LINESTRING (-71.0906247 42.3602555, -71.0905617 42.3601521)",,,,,
542904258,11731505046,0,"[1247717017, 1247717018, 1247717019]",,footway,,,False,False,52.126,,"LINESTRING (-71.0906247 42.3602555, -71.0901266 42.3604124, -71.0901176 42.3604154, -71.0900882 42.3604248, -71.0900415 42.36044)",,,,,
542904258,11731505045,0,1262658241,,footway,,,False,False,11.562000000000001,,"LINESTRING (-71.0906247 42.3602555, -71.0906895 42.3602659, -71.090695 42.3602741, -71.0907227 42.3603151)",,,,,
542904658,4039158116,0,43250989,,footway,,,False,False,9.275,,"LINESTRING (-71.0890687 42.3595855, -71.0891704 42.3595493)",,,,,
542904658,61333312,0,43250989,,footway,,,False,True,12.458,,"LINESTRING (-71.0890687 42.3595855, -71.0890329 42.3595895, -71.0889544 42.3595983, -71.0889188 42.3596023)",,,,,
542904658,542905037,0,1006629908,,footway,,,False,True,61.828,,"LINESTRING (-71.0890687 42.3595855, -71.089572 42.3597262, -71.089775 42.3597771)",,,,,
542904824,542904252,0,43250989,,footway,,,False,False,42.408,,"LINESTRING (-71.0902433 42.3596185, -71.0904505 42.3599678)",,,,,
