u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge,lanes,maxspeed
3816715345,3816574590,0,378253779,service,False,True,30.13,,"LINESTRING (114.3539425 30.6107788, 114.3538825 30.6110448)",,,
3816715345,3816715346,0,378270394,service,False,False,56.45,,"LINESTRING (114.3539425 30.6107788, 114.353364 30.6106796)",,,
3816715346,3816715345,0,378270394,service,False,True,56.45,,"LINESTRING (114.353364 30.6106796, 114.3539425 30.6107788)",,,
3816715347,3816715345,0,378253779,service,False,True,31.68,,"LINESTRING (114.3540055 30.6104991, 114.3539425 30.6107788)",,,
3816715347,3816715348,0,378270395,service,False,False,56.056,,"LINESTRING (114.3540055 30.6104991, 114.3534302 30.6104043)",,,
3816715347,3816574592,0,378253779,service,False,False,87.75099999999999,,"LINESTRING (114.3540055 30.6104991, 114.3540487 30.6103077, 114.3533719 30.6101904)",,,
3816715348,3816715347,0,378270395,service,False,True,56.056,,"LINESTRING (114.3534302 30.6104043, 114.3540055 30.6104991)",,,
3816715349,3816715352,0,378270396,service,False,False,59.771,,"LINESTRING (114.3546241 30.6114612, 114.3540169 30.6113353)",,,
3816715349,3816715354,0,378253778,service,False,False,100.947,,"LINESTRING (114.3546241 30.6114612, 114.3547341 30.6113365, 114.3547569 30.6112904, 114.3547516 30.6112384, 114.3547221 30.6111946, 114.3540425 30.6110684)",,,
3816715349,3816715351,0,378253778,service,False,True,84.10300000000001,,"LINESTRING (114.3546241 30.6114612, 114.3543372 30.6117567, 114.3542594 30.611699, 114.3539593 30.6115836)",,,
3816715351,3816574584,0,378253778,service,False,True,61.135,,"LINESTRING (114.3539593 30.6115836, 114.3533246 30.6115212)",,,
3816715351,3816715352,0,378270397,service,False,False,28.155,,"LINESTRING (114.3539593 30.6115836, 114.3540169 30.6113353)",,,
3816715351,3816715349,0,378253778,service,False,False,84.10300000000001,,"LINESTRING (114.3539593 30.6115836, 114.3542594 30.611699, 114.3543372 30.6117567, 114.3546241 30.6114612)",,,
3816715352,3816715353,0,378270396,service,False,False,2.169,,"LINESTRING (114.3540169 30.6113353, 114.3539946 30.6113318)",,,
3816715352,3816715349,0,378270396,service,False,True,59.771,,"LINESTRING (114.3540169 30.6113353, 114.3546241 30.6114612)",,,
3816715352,3816715351,0,378270397,service,False,True,28.155,,"LINESTRING (114.3540169 30.6113353, 114.3539593 30.6115836)",,,
3816715353,3816715352,0,378270396,service,False,True,2.169,,"LINESTRING (114.3539946 30.6113318, 114.3540169 30.6113353)",,,
3816715353,3816715354,0,378270398,service,False,False,29.645,,"LINESTRING (114.3539946 30.6113318, 114.3540425 30.6110684)",,,
3816715353,3816574584,0,378270396,service,False,False,84.168,,"LINESTRING (114.3539946 30.6113318, 114.3534869 30.611258, 114.3534373 30.6112777, 114.3534078 30.6112984, 114.3533903 30.6113458, 114.3533246 30.6115212)",,,
3816715354,3816574590,0,378253778,service,False,False,15.535,,"LINESTRING (114.3540425 30.6110684, 114.3538825 30.6110448)",,,
