u,v,key,osmid,oneway,highway,reversed,length,name,geometry
3686355802,3686355803,0,364596121,False,footway,False,47.593,,"LINESTRING (108.9081305 34.2455548, 108.9076129 34.2455661)"
3686355803,3686355802,0,364596121,False,footway,True,47.593,,"LINESTRING (108.9076129 34.2455661, 108.9081305 34.2455548)"
3686355804,2016793105,0,191095193,False,residential,False,33.55,,"LINESTRING (108.9126246 34.2451984, 108.9122596 34.2451989)"
3686355804,3686355827,0,191095193,False,residential,True,2.849,,"LINESTRING (108.9126246 34.2451984, 108.9126556 34.2451983)"
3686355804,3686355805,0,364596122,False,service,False,126.352,,"LINESTRING (108.9126246 34.2451984, 108.9126291 34.2440621)"
3686355805,1876844124,0,191095200,False,residential,False,34.645,英才路,"LINESTRING (108.9126291 34.2440621, 108.9122522 34.2440638)"
3686355805,2016793136,0,191095200,False,residential,True,81.846,英才路,"LINESTRING (108.9126291 34.2440621, 108.9135195 34.244058)"
3686355805,3686355804,0,364596122,False,service,True,126.352,,"LINESTRING (108.9126291 34.2440621, 108.9126246 34.2451984)"
3686355806,3686355822,0,191095195,False,residential,False,4.859,槐荫路,"LINESTRING (108.9117 34.2468739, 108.9117004 34.2468302)"
3686355806,3686355809,0,191095195,False,residential,True,26.243,槐荫路,"LINESTRING (108.9117 34.2468739, 108.9116981 34.2471099)"
3686355806,3686355807,0,364596123,False,service,False,244.979,,"LINESTRING (108.9117 34.2468739, 108.9090348 34.2468861)"
3686355807,8984902094,0,333840995,False,residential,False,32.169,柳荫路,"LINESTRING (108.9090348 34.2468861, 108.9090348 34.2465968)"
3686355807,3686355808,0,333840995,False,residential,True,23.964,柳荫路,"LINESTRING (108.9090348 34.2468861, 108.9090321 34.2471016)"
3686355807,3686355806,0,364596123,False,service,True,244.979,,"LINESTRING (108.9090348 34.2468861, 108.9117 34.2468739)"
3686355807,8984902092,0,970814754,False,service,True,128.424,,"LINESTRING (108.9090348 34.2468861, 108.9076379 34.2468629)"
3686355808,3686355807,0,333840995,False,residential,False,23.964,柳荫路,"LINESTRING (108.9090321 34.2471016, 108.9090348 34.2468861)"
3686355808,8984902087,0,333840995,False,residential,True,15.612,柳荫路,"LINESTRING (108.9090321 34.2471016, 108.9090329 34.247242)"
3686355808,8984902095,0,364596124,False,service,False,89.214,,"LINESTRING (108.9090321 34.2471016, 108.9100027 34.2471046)"
3686355809,3686355806,0,191095195,False,residential,False,26.243,槐荫路,"LINESTRING (108.9116981 34.2471099, 108.9117 34.2468739)"
3686355809,2016793121,0,191095195,False,residential,True,133.428,槐荫路,"LINESTRING (108.9116981 34.2471099, 108.9116858 34.2483098)"
3686355809,8984902095,0,364596124,False,service,True,155.835,,"LINESTRING (108.9116981 34.2471099, 108.9100027 34.2471046)"
3686355810,3686355839,0,362794785,False,service,False,18.045,,"LINESTRING (108.9070099 34.247708, 108.9072058 34.2476974)"
3686355810,3670483437,0,362794785,False,service,True,24.607,,"LINESTRING (108.9070099 34.247708, 108.9067425 34.2477187)"
3686355810,3686355813,0,364596125,False,path,False,19.267,,"LINESTRING (108.9070099 34.247708, 108.9071175 34.2475934, 108.9071175 34.2475652)"
3686355812,3686355813,0,364596125,False,path,True,3.013,,"LINESTRING (108.9071175 34.2475381, 108.9071175 34.2475652)"
3686355813,3686355812,0,364596125,False,path,False,3.013,,"LINESTRING (108.9071175 34.2475652, 108.9071175 34.2475381)"
3686355813,3686355810,0,364596125,False,path,True,19.267,,"LINESTRING (108.9071175 34.2475652, 108.9071175 34.2475934, 108.9070099 34.247708)"
3686355813,3686355837,0,364596126,False,footway,False,8.976,,"LINESTRING (108.9071175 34.2475652, 108.9071421 34.2475652, 108.9071735 34.2475618, 108.9071982 34.2475572, 108.9072142 34.247556)"
