u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,service,access,junction,width,tunnel,bridge
65539592,256568208,0,694960768,False,,Crothers Way,service,,False,122.85600000000001,"LINESTRING (-122.1643449 37.4264261, -122.1653854 37.4266451, -122.1656476 37.4266988, -122.1656903 37.4267075)",,,,,,
65539594,8518728066,0,8946514,False,,Arguello Way,service,,True,5.461,"LINESTRING (-122.1638811 37.4277448, -122.1638973 37.4276974)",,,,,,
65539594,8518728065,0,615332519,False,,Arguello Way,pedestrian,,False,5.675,"LINESTRING (-122.1638811 37.4277448, -122.163864 37.427794)",,,,,,
65539594,65613244,0,31705613,False,2,Jane Stanford Way,unclassified,,False,118.988,"LINESTRING (-122.1638811 37.4277448, -122.1637652 37.4277203, -122.1629097 37.4275396, -122.1625814 37.4274626)",,private,,,,
65539594,4742672892,0,31705613,False,2,Jane Stanford Way,unclassified,,True,126.12299999999999,"LINESTRING (-122.1638811 37.4277448, -122.1639345 37.4277561, -122.1646474 37.4279066, -122.1652611 37.4280373)",,private,,,,
65543380,847469519,0,8946921,False,,Sam McDonald Road,service,,False,55.587,"LINESTRING (-122.1591188 37.4331708, -122.1586478 37.4335025)",driveway,,,,,
65543380,2572535777,0,250916603,False,,,service,,True,146.085,"LINESTRING (-122.1591188 37.4331708, -122.1603602 37.4323023)",parking_aisle,,,,,
65543380,2572535780,0,650274787,False,,,service,,True,18.054,"LINESTRING (-122.1591188 37.4331708, -122.1589914 37.4330438)",,,,,,
65543380,847469490,0,26250619,False,,,service,,True,35.389,"LINESTRING (-122.1591188 37.4331708, -122.1592125 37.4331638, -122.1593761 37.4331425, -122.1595075 37.4331021)",,,,,,
65545423,7951449659,0,8947203,True,2,Pasteur Drive,residential,25 mph,False,55.185,"LINESTRING (-122.1814496 37.4342396, -122.1813856 37.4342078, -122.1812765 37.4341535, -122.1811265 37.4341192, -122.1808723 37.4340607)",,,,,,
65545423,11247470391,0,"[596067034, 689239827]",False,"['6', '5']",Pasteur Drive,residential,25 mph,True,50.147,"LINESTRING (-122.1814496 37.4342396, -122.181497 37.4342615, -122.18157 37.4342951, -122.1817291 37.434388, -122.1818921 37.434507, -122.1818992 37.4345124)",,,,,,
65545427,65545447,0,165816831,False,4,Welch Road,tertiary,25 mph,True,67.625,"LINESTRING (-122.1795703 37.4337618, -122.1795373 37.4338663, -122.1794084 37.4342535, -122.1793762 37.4343501)",,,,,,
65545427,1330035207,0,596067032,True,2,Pasteur Drive,residential,25 mph,False,60.473,"LINESTRING (-122.1795703 37.4337618, -122.1794616 37.4337388, -122.1794374 37.4337337, -122.1789086 37.4336215)",,,,,,
65545427,1758054036,0,"[682476777, 596067033, 677108581]",False,"['3', '2']",Welch Road,tertiary,25 mph,False,69.02700000000002,"LINESTRING (-122.1795703 37.4337618, -122.1795894 37.4337004, -122.1795939 37.4336854, -122.1796364 37.4335422, -122.1796753 37.433423, -122.1797693 37.4331616)",,,,,,
65545431,1758054045,0,164139688,False,,Jordan Way,footway,,False,73.123,"LINESTRING (-122.1766908 37.4331599, -122.1768464 37.432514)",,,,,,
65545431,65545441,0,118227652,True,,,service,,False,193.74099999999999,"LINESTRING (-122.1766908 37.4331599, -122.1760948 37.4330277, -122.1760398 37.4330235, -122.1759922 37.4330288, -122.1759479 37.433048, -122.1759077 37.433081, -122.1758822 37.4331321, -122.1757743 37.4334611, -122.1757693 37.4335082, -122.1757879 37.4335382, -122.1758172 37.4335692, -122.1758574 37.4335924, -122.1759084 37.4336123, -122.176497 37.4337379)",,,,,,
65545431,65545441,1,164139686,False,,Pasteur Drive,residential,25 mph,False,66.511,"LINESTRING (-122.1766908 37.4331599, -122.1766658 37.4332394, -122.1765173 37.433678, -122.176497 37.4337379)",,no,,,,
65545441,2733190239,0,164139675,True,2,Pasteur Drive,residential,25 mph,False,32.415,"LINESTRING (-122.176497 37.4337379, -122.1768107 37.4338004, -122.1768531 37.4338088)",,,,,,
