u,v,key,osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,access,width,service,bridge,tunnel,junction
260556517,260556526,0,24026043,footway,False,True,19.848,,"LINESTRING (-122.257847 37.8721363, -122.2577316 37.8721616, -122.2577032 37.8720807)",,,,,,,,
260556520,260556526,0,24026043,footway,False,False,19.676000000000002,,"LINESTRING (-122.2577722 37.8719678, -122.2576713 37.8719898, -122.2577032 37.8720807)",,,,,,,,
260556520,260556525,0,24026043,footway,False,True,20.88,,"LINESTRING (-122.2577722 37.8719678, -122.2578854 37.871943, -122.2579175 37.8720346)",,,,,,,,
260556520,8451378173,0,28844019,footway,False,True,34.755,,"LINESTRING (-122.2577722 37.8719678, -122.2577656 37.8719486, -122.2576716 37.8716655)",,,,,,,,
260556525,260556520,0,24026043,footway,False,False,20.88,,"LINESTRING (-122.2579175 37.8720346, -122.2578854 37.871943, -122.2577722 37.8719678)",,,,,,,,
260556525,260556517,0,24026043,footway,False,True,18.232,,"LINESTRING (-122.2579175 37.8720346, -122.2579456 37.8721148, -122.257847 37.8721363)",,,,,,,,
260556525,2328750874,0,"[1099762293, 224038047]","['steps', 'footway']",False,True,14.309000000000001,,"LINESTRING (-122.2579175 37.8720346, -122.2579682 37.8720224, -122.2580736 37.8719975)",,,,,,,,
260556526,260556517,0,24026043,footway,False,False,19.848,,"LINESTRING (-122.2577032 37.8720807, -122.2577316 37.8721616, -122.257847 37.8721363)",,,,,,,,
260556526,260556520,0,24026043,footway,False,True,19.676000000000002,,"LINESTRING (-122.2577032 37.8720807, -122.2576713 37.8719898, -122.2577722 37.8719678)",,,,,,,,
260556526,260556527,0,24026046,footway,False,False,12.888,,"LINESTRING (-122.2577032 37.8720807, -122.2576277 37.8720964, -122.2575612 37.8721102)",,,,,,,,
260556527,282830485,0,22016975,service,True,False,24.077,,"LINESTRING (-122.2575612 37.8721102, -122.25764 37.8723176)",,,,,,,,
260556527,260556526,0,24026046,footway,False,True,12.888,,"LINESTRING (-122.2575612 37.8721102, -122.2576277 37.8720964, -122.2577032 37.8720807)",,,,,,,,
260556528,462764029,0,279331060,pedestrian,False,False,36.338,Campanile Way,"LINESTRING (-122.2606116 37.8713887, -122.2602155 37.8714837)",,,,,,,,
260556528,53024385,0,279331060,pedestrian,False,True,23.791,Campanile Way,"LINESTRING (-122.2606116 37.8713887, -122.2608751 37.8713386)",,,,,,,,
260556528,260913662,0,24026047,footway,False,True,29.033,,"LINESTRING (-122.2606116 37.8713887, -122.2607424 37.8714404, -122.2608223 37.8714834, -122.2609085 37.8714965)",,,,,,,,
260556528,260556532,0,234529332,footway,False,False,69.794,,"LINESTRING (-122.2606116 37.8713887, -122.2604404 37.8712865, -122.2603927 37.871126, -122.2602112 37.8710316, -122.2600614 37.8710608)",,,,,,,,
260556532,260556534,0,"[234529332, 482840646]",footway,False,False,30.176000000000002,,"LINESTRING (-122.2600614 37.8710608, -122.2599959 37.8709658, -122.2599347 37.8708616, -122.259909 37.8708177)",,,,,,,,
260556532,260556528,0,234529332,footway,False,True,69.79400000000001,,"LINESTRING (-122.2600614 37.8710608, -122.2602112 37.8710316, -122.2603927 37.871126, -122.2604404 37.8712865, -122.2606116 37.8713887)",,,,,,,,
260556532,9531601733,0,1034706083,footway,False,True,56.772,,"LINESTRING (-122.2600614 37.8710608, -122.2599512 37.8711301, -122.2599538 37.8711473, -122.2600886 37.8715142)",,,,,,,,
260556534,260556537,0,482840646,footway,False,False,22.645,,"LINESTRING (-122.259909 37.8708177, -122.259857 37.8708177, -122.2596579 37.8708594)",,,,,,,,
260556534,260556532,0,"[234529332, 482840646]",footway,False,True,30.176000000000002,,"LINESTRING (-122.259909 37.8708177, -122.2599347 37.8708616, -122.2599959 37.8709658, -122.2600614 37.8710608)",,,,,,,,
260556534,9531600068,0,1034706069,footway,False,True,51.145,,"LINESTRING (-122.259909 37.8708177, -122.2603029 37.8707355, -122.2603299 37.870725, -122.2603422 37.8707047, -122.260342 37.8706805, -122.2603365 37.8706536, -122.2603288 37.8706257, -122.2603437 37.870623)",,,,,,,,
260556537,234653364,0,234529366,pedestrian,False,True,80.716,Sather Road,"LINESTRING (-122.2596579 37.8708594, -122.2599077 37.871558)",,,,,,,,
260556537,52991834,0,234529366,pedestrian,False,False,14.633000000000001,Sather Road,"LINESTRING (-122.2596579 37.8708594, -122.2596546 37.8708472, -122.2596192 37.8707314)",,,,,,,,
260556537,260556534,0,482840646,footway,False,True,22.645,,"LINESTRING (-122.2596579 37.8708594, -122.259857 37.8708177, -122.259909 37.8708177)",,,,,,,,
260556547,234653417,0,184900406,service,False,False,6.859,,"LINESTRING (-122.2596577 37.873526, -122.2595869 37.8734999)",1,,,,alley,,,
260556547,1954723358,0,184900406,service,False,True,27.626,,"LINESTRING (-122.2596577 37.873526, -122.2597498 37.8735777, -122.2598031 37.873623, -122.2598758 37.8737017)",1,,,,alley,,,
260556547,1954723364,0,"[914950427, 914950428]",footway,False,True,23.019000000000002,,"LINESTRING (-122.2596577 37.873526, -122.2597204 37.8734902, -122.2597324 37.8734951, -122.2598249 37.8734591, -122.2598904 37.873444)",,,,,,,,
260556547,2327823533,0,"[914950429, 24054422]",footway,False,False,60.781000000000006,,"LINESTRING (-122.2596577 37.873526, -122.2596263 37.8735345, -122.2595521 37.8735549, -122.2594396 37.8735635, -122.2593243 37.873559, -122.2592347 37.8735503, -122.2591158 37.8735259, -122.2589767 37.8735254)",,,,,,,,
260556548,237133934,0,22016955,footway,False,False,17.09,,"LINESTRING (-122.2636435 37.8727723, -122.2634881 37.8726797)",,,,,,,,
260556548,237133607,0,22016955,footway,False,True,3.149,,"LINESTRING (-122.2636435 37.8727723, -122.2636751 37.8727589)",,,,,,,,
260556548,282874062,0,35089974,footway,False,False,27.726000000000003,,"LINESTRING (-122.2636435 37.8727723, -122.2635451 37.872814, -122.2634682 37.8728493, -122.2633996 37.8728733, -122.2633643 37.8728885)",,,,,,,,
260556548,282874041,0,1234807514,footway,False,True,29.422,,"LINESTRING (-122.2636435 37.8727723, -122.2637214 37.8728853, -122.263811 37.8730014)",,,,,,,,
260556548,11461741622,0,1234807515,footway,False,False,11.669,,"LINESTRING (-122.2636435 37.8727723, -122.2636336 37.8727194, -122.2636283 37.8726681)",,,,,,,,
260556549,237133607,0,22016938,unclassified,False,False,10.485,,"LINESTRING (-122.2636697 37.8726647, -122.2636751 37.8727589)",,,,,,,,
260556549,11461741573,0,24026050,footway,False,False,3.722,,"LINESTRING (-122.2636697 37.8726647, -122.263712 37.8726624)",,,,,,,,
260556549,11461741622,0,24026050,footway,False,True,3.653,,"LINESTRING (-122.2636697 37.8726647, -122.2636283 37.8726681)",,,,,,,,
