u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service
9039504170,9039504171,0,976846125,,service,,False,True,90.495,"LINESTRING (126.6251779 45.7408764, 126.6244225 45.7402564)",
9039504170,3256848634,0,319273245,,service,,False,True,184.356,"LINESTRING (126.6251779 45.7408764, 126.6250961 45.7409222, 126.6250464 45.740947, 126.6247232 45.7411342, 126.6245519 45.7412265, 126.6244812 45.7412934, 126.6244358 45.7413638, 126.6244106 45.7414378, 126.6244207 45.7415223, 126.6244762 45.7416245, 126.625078 45.7421433)",
9039504171,9039504170,0,976846125,,service,,False,False,90.495,"LINESTRING (126.6244225 45.7402564, 126.6251779 45.7408764)",
9039504171,3256636335,0,1092751696,校园街,residential,,False,False,186.388,"LINESTRING (126.6244225 45.7402564, 126.6225881 45.7413384)",
9039504171,3256848642,0,1092751696,校园街,residential,,False,True,17.888,"LINESTRING (126.6244225 45.7402564, 126.6245986 45.7401526)",
9039504173,9039504145,0,976846113,,service,,False,False,77.464,"LINESTRING (126.6224608 45.7422639, 126.6226432 45.7421666, 126.623126 45.742584)",
9039504173,9039504168,0,"[976846128, 976846124]",,service,,False,False,265.16200000000003,"LINESTRING (126.6224608 45.7422639, 126.6221148 45.7424754, 126.6238864 45.7439907, 126.6240185 45.7439345)",
9039504173,9039504179,0,976846128,,service,,False,True,58.947,"LINESTRING (126.6224608 45.7422639, 126.62221 45.7420543, 126.6221791 45.742014, 126.6221765 45.7419626, 126.62221 45.7418044)",
9039504177,9039504180,0,976846127,,service,,False,False,17.372,"LINESTRING (126.6223629 45.7413933, 126.6225377 45.7412957)",
9039504177,9039504181,0,976846127,,service,,False,True,36.087,"LINESTRING (126.6223629 45.7413933, 126.6219994 45.7415957)",
9039504177,9039504179,0,976846129,,service,,False,True,65.925,"LINESTRING (126.6223629 45.7413933, 126.6225895 45.7415882, 126.62221 45.7418044)",
9039504179,9039504181,0,976846126,,service,,False,True,28.384,"LINESTRING (126.62221 45.7418044, 126.6219994 45.7415957)",
9039504179,9039504173,0,976846128,,service,,False,False,58.947,"LINESTRING (126.62221 45.7418044, 126.6221765 45.7419626, 126.6221791 45.742014, 126.62221 45.7420543, 126.6224608 45.7422639)",
9039504179,9039504177,0,976846129,,service,,False,False,65.925,"LINESTRING (126.62221 45.7418044, 126.6225895 45.7415882, 126.6223629 45.7413933)",
9039504180,9039504177,0,976846127,,service,,False,True,17.372,"LINESTRING (126.6225377 45.7412957, 126.6223629 45.7413933)",
9039504180,9039504183,0,1092751694,法院街,residential,,False,False,22.474,"LINESTRING (126.6225377 45.7412957, 126.6223534 45.7411398)",
9039504180,3256636335,0,1092751694,法院街,residential,,False,True,6.152,"LINESTRING (126.6225377 45.7412957, 126.6225881 45.7413384)",
9039504181,9039504179,0,976846126,,service,,False,False,28.384,"LINESTRING (126.6219994 45.7415957, 126.62221 45.7418044)",
9039504181,9039504177,0,976846127,,service,,False,False,36.087,"LINESTRING (126.6219994 45.7415957, 126.6223629 45.7413933)",
9039504181,9039504183,0,976846130,,service,,False,True,74.959,"LINESTRING (126.6219994 45.7415957, 126.6218238 45.7414412, 126.6223534 45.7411398)",
9039504183,9039504154,0,1092751694,法院街,residential,,False,False,31.452,"LINESTRING (126.6223534 45.7411398, 126.6220955 45.7409216)",
9039504183,9039504180,0,1092751694,法院街,residential,,False,True,22.474,"LINESTRING (126.6223534 45.7411398, 126.6225377 45.7412957)",
9039504183,9039504181,0,976846130,,service,,False,False,74.959,"LINESTRING (126.6223534 45.7411398, 126.6218238 45.7414412, 126.6219994 45.7415957)",
9907928875,3447927217,0,300671368,护军街,tertiary,,True,False,205.51,"LINESTRING (126.6244347 45.7386318, 126.6223987 45.7398136)",
9907928876,9907928882,0,300671368,护军街,tertiary,,True,False,2.817,"LINESTRING (126.6244929 45.738598, 126.624465 45.7386142)",
9907928877,8686405325,0,937503661,护军街,residential,,False,False,8.075,"LINESTRING (126.6245848 45.7385497, 126.6246679 45.738506)",
9907928877,3257105269,0,937503661,护军街,residential,,False,True,4.604,"LINESTRING (126.6245848 45.7385497, 126.6245374 45.7385746)",
9907928882,9907928875,0,300671368,护军街,tertiary,,True,False,3.059,"LINESTRING (126.624465 45.7386142, 126.6244347 45.7386318)",
9907928882,3256837501,0,319272442,工建街,residential,,False,True,137.388,"LINESTRING (126.624465 45.7386142, 126.624551 45.7386732, 126.6256051 45.7395589)",
10006838488,3256822963,0,319271082,繁荣街,residential,yes,False,True,112.163,"LINESTRING (126.6291478 45.7409766, 126.6283101 45.7401546)",
10006838488,3256837499,0,319271083,司令街,pedestrian,yes,False,True,111.338,"LINESTRING (126.6291478 45.7409766, 126.6280398 45.7416127)",
10006838488,10006838489,0,319271083,司令街,pedestrian,yes,False,False,15.142,"LINESTRING (126.6291478 45.7409766, 126.6291618 45.7409686, 126.6292985 45.7408901)",
10006838489,10006838488,0,319271083,司令街,pedestrian,yes,False,True,15.142,"LINESTRING (126.6292985 45.7408901, 126.6291618 45.7409686, 126.6291478 45.7409766)",
10011965358,3256822963,0,319271082,繁荣街,residential,yes,False,False,24.691,"LINESTRING (126.6281139 45.7399798, 126.6283101 45.7401546)",
